"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor","individual_labor_share","year_inc_numeric","lnY","lnL","lnK"
"PL0006",2000,400,1695,1561,5000,3447,2932,"1951",29,1,"manufacturing",0.92094395280236,1951,7.43543801981455,5.99146454710798,8.14525956651686
"PL0006",1998,477,1298,1410,5375,4825,2932,"1951",29,1,"manufacturing",1.08628659476117,1951,7.16857989726403,6.16751649088834,8.48156601377309
"PL0006",1996,562,2896,1443,7321,6816,2932,"1951",29,1,"manufacturing",0.498273480662983,1951,7.97108575350561,6.33150184989369,8.82702806850915
"PL0006",2001,400,1780,1513,5034,3564,2932,"1951",29,1,"manufacturing",0.85,1951,7.48436864328613,5.99146454710798,8.1786387885907
"PL0006",1999,401,2678,852,1952,3558,2932,"1951",29,1,"manufacturing",0.31814787154593,1951,7.89282552625112,5.99396142730657,8.17695386822578
"PL0006",1997,540,2218,1393,6678,5692,2932,"1951",29,1,"manufacturing",0.628043282236249,1951,7.70436116791031,6.29156913955832,8.64681695920974
"PL0031",2000,291,3508,2847,10242,9663,7420,"1949",74,2,"services",0.81157354618016,1949,8.16280135349207,5.67332326717149,9.17605943799931
"PL0031",2001,291,3688,2840,18635,12507,7420,"1949",74,2,"services",0.770065075921909,1949,8.21283958467648,5.67332326717149,9.43404376654891
"PL0031",1998,354,1429,2099,5620,3853,7420,"1949",74,2,"services",1.46885934219734,1949,7.26473017792987,5.86929691313377,8.25660734462616
"PL0031",1999,301,3256,2684,6338,5521,7420,"1949",74,2,"services",0.824324324324324,1949,8.08825472712243,5.70711026474888,8.61631428228404
"PL0037",2001,200,2740,2090,17646,8924,5211,"1946",52,2,"services",0.762773722627737,1946,7.91571319938212,5.29831736654804,9.09649955555242
"PL0037",1998,197,2858,1303,11780,6836,5211,"1946",52,2,"services",0.45591322603219,1946,7.95787735848981,5.28320372873799,8.82995804423548
"PL0037",2000,200,2466,1733,16216,8211,5211,"1946",52,2,"services",0.702757502027575,1946,7.81035268372429,5.29831736654804,9.01322999770879
"PL0037",1999,209,2428,1458,14174,8140,5211,"1946",52,2,"services",0.600494233937397,1946,7.79482315217939,5.34233425196481,9.00454545899659
"PL0037",1996,467,5065,1629,12606,12179,5211,"1946",52,2,"services",0.321618953603159,1946,8.53010941668278,6.1463292576689,9.40746843608711
