year	id	EMPL	AV	STAF	TURN	TOAS
1992	PL0011				315628	115923
1992	PL0021		1882	3231	5871	16109
1992	PL0051				2201914	486486
1992	PL0079		6375	7709	48588	44468
1992	PL0097				394674	764151
1992	PL0145			8363	76064	74380
1992	PL0258			1314	10456	6647
1992	PL0333				25540	35887
1992	PL0344			440	72632	32716
1992	PL0490				122805	
1992	PL0559			7395	38551	32709
1992	PL1026		12189	9973	24828	11058
1992	PL1136				15903	18289
1992	PL1208			5484	15983	26439
1992	PL1566				74476	141316
1992	PL1982				80866	60808
1992	PL2843					
1992	PL3085				12915	23028
1992	PL3247		8256	3598	23489	25020
1992	PL3349				57745	
1992	PL3413		5518	4210	12829	35644
1992	PL3461				14572	13888
1992	PL3693				5687	9116
1992	PL3837				12471	9786
1992	PL3939				13436	13478
1992	PL4011			523	24144	4385
1992	PL4035				11192	12656
1992	PL4188				23864	6463
1992	PL4203				32575	54524
1992	PL4541				66261	
1992	PL4568			2294	16964	31415
1992	PL4598				9163	
1992	PL4608		6644	2254	12542	9717
1992	PL4652				52933	61513
1992	PL4669		2433	1162	13331	4029
1992	PL4688				19317	26514
1992	PL4711			12535	40565	21202
1992	PL4871			1229	18096	17752
1992	PL4893			3952	11308	73492
1992	PL4896				15011	17063
1992	PL4938		7041	2436	17060	25972
1992	PL4976			6129	23030	44715
1992	PL5062				31955	39029
1992	PL5064		2002	5921	15217	25805
1992	PL5159		15301	7305	24840	21891
1992	PL5169				66166	132028
1992	PL5182			1579	83195	282521
1992	PL5183			2518	8820	11972
1992	PL5191		5023	3481	15280	8807
1992	PL5245		9940	7093	19728	17675
1992	PL5326				9733	12626
1992	PL5437				12374	2321
1992	PL5456				17900	7046
1992	PL5474		4287	3084	11374	26337
1992	PL5564				49781	
1992	PL5593				5115	7564
1992	PL5685					1946
1992	PL5885			1266	18004	26399
1993	PL0011				219500	91059
1993	PL0021			2463	7802	10578
1993	PL0051				1518224	435352
1993	PL0079			5461	15569	25401
1993	PL0090			713	15910	5759
1993	PL0097				328743	701461
1993	PL0145				71149	
1993	PL0204		1542	975	6034	2862
1993	PL0223				1247092	915451
1993	PL0227			1174	11433	50618
1993	PL0230			1622	38872	38964
1993	PL0243				13625	14275
1993	PL0258		3690	1533	10667	6696
1993	PL0259		24053	12327	94465	78875
1993	PL0271			2309	38341	18460
1993	PL0277		5665	2482	57111	38568
1993	PL0302				18647	
1993	PL0310		14108	1249	24595	90038
1993	PL0324				44304	48540
1993	PL0325		1101	702	34655	6671
1993	PL0332				39781	30787
1993	PL0333				29479	31347
1993	PL0344		-2713	565	28709	26313
1993	PL0351				459063	166822
1993	PL0357		45737	17686	105727	88299
1993	PL0359		51664	31109	210305	214315
1993	PL0383				27235	57051
1993	PL0392				26058	18183
1993	PL0410		16661	1406	347017	262592
1993	PL0428				363979824	
1993	PL0432				18717	11400
1993	PL0447		322112	12450	931970	287312
1993	PL0454				64076	
1993	PL0487			1581	21217	8403
1993	PL0490		-6579	7780	92336	176590
1993	PL0507				32150	4874
1993	PL0525				36979	13172
1993	PL0543					
1993	PL0553			29755	310314	362181
1993	PL0556			8583	45588	49216
1993	PL0559		4786	1481	34116	26669
1993	PL0596			1862	10386	11197
1993	PL0612				24363	26683
1993	PL0620				63250	53784
1993	PL0632		8702	5533	20483	19451
1993	PL0678				23272	14533
1993	PL0691				4859	1443
1993	PL0717				19213	12490
1993	PL0724		4716	2528	51068	17951
1993	PL0752		2034	490	7388	2487
1993	PL0780		4231	3043	11655	12588
1993	PL0791				41913	
1993	PL0817				56345	37557
1993	PL0848				35550	18818
1993	PL0864		12339	3430	253036	138957
1993	PL0881				150536	167827
1993	PL0888		28337	2964	40418	18398
1993	PL0913				221786	16928
1993	PL0944			6836	69203	82641
1993	PL0961		-93	800	28224	10838
1993	PL0980				5135	4508
1993	PL1026				19912	
1993	PL1101		20543	8987	76489	53933
1993	PL1108				8655	5404
1993	PL1120		8602	4726	33936	110604
1993	PL1126				16915	16220
