id	dateofincorporation	nacerev1primarycode
PL0003	1987	5119
PL0004		7440
PL0006	1951	2932
PL0011	1989	5170
PL0015	1924	1721
PL0021	1945	2924
PL0024	1969	1930
PL0025	1989	6025
PL0030	1989	2212
PL0031	1949	7420
PL0036	1988	2442
PL0037	1946	5211
PL0041	1989	2442
PL0051	1945	5155
PL0056	1957	5142
PL0060	1988	5030
PL0068	1948	2470
PL0074	1950	5114
PL0077	1926	2121
PL0079	1945	3230
PL0082	1989	6340
PL0083	1946	1571
PL0086	1994	5116
PL0090	1983	5248
PL0094	1990	2840
PL0097	1945	6420
PL0106	1926	3002
PL0108	1990	4521
PL0110	1898	2522
PL0111	1994	3130
PL0112	1945	2420
PL0113	1989	2862
PL0119	1852	3614
PL0140	1858	6340
PL0145	1840	2710
PL0147	1988	3210
PL0150	1949	2710
PL0156	1985	5170
PL0159	1952	7310
PL0161	1977	7310
PL0165	1951	5152
PL0170	1990	2524
PL0176	1952	3614
PL0195	1987	5170
PL0198	1973	5118
PL0204	1945	7415
PL0206	1925	2875
PL0216	1924	2452
PL0218	1988	5170
PL0223	1959	2320
PL0227	1949	5161
PL0229	1975	3002
PL0230	1949	5144
PL0241	1971	5165
PL0242	1874	2461
PL0243	1974	1751
PL0258	1990	2872
PL0259	1946	2414
PL0263	1952	501
PL0264	1926	3210
PL0265	1992	7020
PL0266	1976	7310
PL0271	1945	2451
PL0272	1947	2451
PL0273	1945	2451
PL0275	1932	2451
PL0277	1932	5153
PL0278	1948	2451
PL0279	1839	2451
PL0280	1935	2441
PL0287	1951	2451
PL0289	1951	6111
PL0293	1947	3161
PL0294	1989	1551
PL0302	1885	2441
PL0310	1958	6023
PL0312	1951	5170
PL0324	1949	2830
PL0325	1989	5118
PL0332	1919	3614
PL0333	1931	2513
PL0344	1948	5142
PL0351	1963	5152
PL0354	1983	6330
PL0357	1939	2511
PL0359	1948	7415
PL0362	1949	5142
PL0378	1975	1520
PL0383	1959	6523
PL0385	1922	2681
PL0387	1991	3210
PL0389	1989	5170
PL0390	1972	5143
PL0392	1945	1822
PL0399	1945	5170
PL0400	11/9/1989	3330
PL0406	1951	2412
PL0410	1951	5248
PL0419	1945	3614
PL0425	1957	3130
PL0428	1974	7020
PL0432	1945	1822
PL0433	1945	7420
PL0438	1994	5165
PL0440	1968	3410
PL0442	1989	5138
PL0444	1971	2121
PL0447	1972	2320
PL0454	1945	5146
PL0457	1982	3220
PL0461	1946	2521
PL0465	1989	6523
PL0466	1990	5146
PL0469	1924	2524
PL0473	1972	5146
PL0475	1972	2522
PL0478	1990	1511
PL0481	1860	2413
PL0484	1951	1543
PL0486	1949	9234
PL0487	1874	1596
PL0488		4030
PL0490	1966	2416
PL0493	1957	3210
PL0495	1989	5245
PL0497	1990	5212
PL0501	1952	1930
PL0503	1954	4521
PL0505	1987	5143
PL0507	1992	9271
PL0509	1971	5162
PL0514	1944	2452
PL0515	1952	4030
PL0519	1981	8511
PL0520	1928	3130
PL0525	1990	5010
PL0537	1989	6025
PL0539	1993	2211
PL0542	1961	4525
PL0543	1952	2971
PL0546	1982	3310
PL0547	1945	8030
PL0552	1951	2523
PL0553	1929	6210
PL0556	1987	5511
PL0557	1957	3130
PL0559	1953	4534
PL0563	1988	3310
PL0575	1965	1532
PL0576	1976	5212
PL0585	1992	1591
PL0586	1951	5146
PL0587	1944	5151
PL0596	1972	1754
PL0608	1950	5118
PL0612	1913	2952
PL0619	1990	6311
PL0620	1953	2742
PL0627	1990	5143
PL0630	1965	2662
PL0632	1945	1711
PL0634	1947	5153
PL0637	1989	4521
PL0641	1955	3320
PL0643	1965	3210
PL0660	1888	2320
PL0665	1980	6025
PL0666	1957	1512
PL0668	1990	6025
PL0678	1948	2466
PL0679	1988	141
PL0680	1984	2523
PL0681	1998	5131
PL0683	1975	4010
PL0689	1990	3150
PL0691	1990	5121
PL0693	1991	2413
PL0695	1993	5143
PL0701	1989	5170
PL0710	1989	3330
PL0711	1945	2211
PL0717	1912	1724
PL0724	1988	5170
PL0727	1990	5146
PL0729	1945	2442
PL0745	1991	5136
PL0746	1945	2922
PL0747	1912	1584
PL0750	1989	3220
PL0752	1988	2430
PL0755	1991	2922
PL0760	1987	2523
PL0769	1983	5170
PL0770	1987	2222
PL0771	1846	2911
PL0773	1990	6025
PL0779	1990	5170
PL0780	1827	1721
PL0784	1987	5244
PL0785	1988	3110
PL0788	1989	1822
PL0789	1990	5170
PL0791	1931	2442
PL0796	1982	4020
PL0799	1990	6420
PL0809	1990	6025
PL0816	1970	2442
PL0817	1992	2744
PL0818	1882	2722
PL0825	1989	4534
PL0826	1989	2923
PL0842	1962	2681
PL0847	1972	1772
PL0848	1949	4521
PL0852	1990	5170
PL0855		5155
PL0859	1975	5166
PL0861	1989	5144
PL0864	1945	4521
PL0877	1990	3710
PL0881	1927	2415
PL0885	1991	6311
PL0888	1893	1596
PL0905	1950	5211
PL0913	1968	4521
PL0916	1990	5211
PL0936	1947	5170
PL0944	1879	2413
PL0951	1896	2452
PL0952	1951	2211
PL0960	1956	3210
PL0961	1989	5119
PL0966	1966	2222
PL0967	1949	2211
PL0973	1989	5153
PL0980	1926	2464
PL0982	1991	5170
PL0987	1977	8511
PL0992	1995	4521
PL10002	1949	1511
PL10006	1986	2524
PL10011		1010
PL10027	1990	7420
PL10028	1919	2840
PL10030	1986	5530
PL10039	1988	2931
PL10066	1995	6712
PL10077	1992	3430
PL1008	1971	1760
PL10081	1948	3150
PL10088	1994	5132
PL1009	1990	6025
PL10091	1993	5170
PL10092	1994	4030
PL10094	1993	3130
PL10096	1990	6021
PL10098	1991	7110
PL10106	1992	4531
PL10116	1954	5153
PL10118	1989	3614
PL10144	1995	7414
PL10153	1991	5151
PL10154	1992	1551
PL10158	1994	2811
PL10159	1979	3614
PL1016	1980	2310
PL10162	1991	7440
PL10163	1870	1010
PL10164	1968	1533
PL10169	1993	1581
PL10170	1994	4010
PL10174	1995	6523
PL1018	1946	6021
PL10181	1898	4010
PL10191	1989	6523
PL10198	1991	1822
PL1020	1964	5170
PL10200	1995	3161
PL10201	1994	1584
PL10202	1946	5020
PL10209		4521
PL10215	1953	2811
PL10216	1953	7420
PL10222	1969	1910
PL10223	1955	1520
PL10227	1994	3410
PL1023	1989	2121
PL10244	1950	4525
PL10246	1992	1716
PL10248	1989	7320
PL10249	1834	2710
PL10253	1994	5151
PL10256	2000	5170
PL10259	1991	5170
PL1026	1954	4521
PL10260	1993	7413
PL10263	1995	3410
PL10264	1972	3520
PL1027	1990	2211
PL10272	1883	1712
PL10277	1976	7310
PL10295	1994	2640
PL10297	1884	1583
PL10299	1992	7032
PL10300	1990	5170
PL10302	1995	1551
PL1031	1950	7484
PL10316	1993	7420
PL10319	1965	2652
PL1032	1984	3650
PL10325	1972	1512
PL10329	1964	3330
PL10336	1949	2953
PL10351	1993	5166
PL10354	1994	3120
PL1036		6025
PL10363	1806	2222
PL10364	1974	5010
PL10371	1994	1551
PL10376	1952	3150
PL10380	1989	9220
PL10382	1947	3630
PL10388	1953	5146
PL10389	1951	2640
PL10392	1991	7440
PL10399	1993	2811
PL10409	1994	2662
PL1041	1990	5170
PL10410	1990	2513
PL10415	1951	3511
PL10416		1754
PL10417	1895	3520
PL10420	1971	7011
PL10424		6420
PL10442	1997	3614
PL10447	1992	5134
PL10448	1952	2615
PL10449	1950	1722
PL1045	1989	7481
PL10451	1958	4533
PL10455	1982	3430
PL10457	1993	4521
PL10458	1995	2640
PL10460	1952	2932
PL1047	1989	5170
PL10472	1992	7414
PL10478		1511
PL10492	1964	4525
PL10495	1991	5146
PL10499	1992	5145
PL1050	1990	7310
PL10500	1997	1551
PL10505	1991	2661
PL10509	1990	2640
PL10510	1994	5227
PL10514	1951	4521
PL10517	1994	1440
PL10519	1951	2940
PL10521	1990	7031
PL10524	1991	3612
PL10528	1992	5153
PL10529	1991	7440
PL10532	1992	3614
PL10538	1993	1551
PL10541	1995	1551
PL10552	1995	2211
PL10554	1994	1584
PL10560	1913	2752
PL10561	1996	2521
PL10565	1995	5010
PL10566	1987	4531
PL10567	1928	2626
PL10570	1992	7440
PL10572	1995	5166
PL10576	1991	2812
PL10590	1992	1520
PL10596	1909	2310
PL10597	1991	2952
PL10601	1945	2751
PL10602	1917	2420
PL10603	1993	4521
PL10604	1946	3520
PL10620	1996	6523
PL10627	1974	2830
PL10639	1997	7420
PL10648	1990	3330
PL10658	1983	1822
PL10659	1991	3230
PL10666	1890	7032
PL10668	1950	4550
PL10676	1991	5170
PL10678	1995	130
PL10681	1995	6523
PL10682	1994	1596
PL10683	1989	5245
PL10705	1992	5211
PL10718	1975	3320
PL10723	1990	5170
PL10724		4521
PL10726	1980	2613
PL10742	1975	1513
PL1075	1990	5146
PL10762	1988	4521
PL10768	1992	4525
PL10771	1993	5170
PL10772	1989	6312
PL10773	1953	1010
PL10776	1948	1561
PL10777	1927	1513
PL10782	1995	3310
PL10791	1990	5142
PL10807	1991	7415
PL10810	1992	7415
PL10812	1995	5170
PL10814	1993	7420
PL10819	1996	6523
PL10836	1945	2221
PL10837	1979	1551
PL10854	1993	1810
PL10856	1993	2710
PL10870	1975	1511
PL10871	1954	7020
