"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor"
"PL0006",2000,400,1695,1561,5000,3447,2932,"1951",29,1,"manufacturing"
"PL0006",1998,477,1298,1410,5375,4825,2932,"1951",29,1,"manufacturing"
"PL0006",1996,562,2896,1443,7321,6816,2932,"1951",29,1,"manufacturing"
"PL0006",2001,400,1780,1513,5034,3564,2932,"1951",29,1,"manufacturing"
"PL0006",1999,401,2678,852,1952,3558,2932,"1951",29,1,"manufacturing"
"PL0006",1997,540,2218,1393,6678,5692,2932,"1951",29,1,"manufacturing"
"PL0031",2000,291,3508,2847,10242,9663,7420,"1949",74,2,"services"
"PL0031",2001,291,3688,2840,18635,12507,7420,"1949",74,2,"services"
"PL0031",1998,354,1429,2099,5620,3853,7420,"1949",74,2,"services"
"PL0031",1999,301,3256,2684,6338,5521,7420,"1949",74,2,"services"
"PL0037",2001,200,2740,2090,17646,8924,5211,"1946",52,2,"services"
"PL0037",1998,197,2858,1303,11780,6836,5211,"1946",52,2,"services"
"PL0037",2000,200,2466,1733,16216,8211,5211,"1946",52,2,"services"
"PL0037",1999,209,2428,1458,14174,8140,5211,"1946",52,2,"services"
"PL0037",1996,467,5065,1629,12606,12179,5211,"1946",52,2,"services"
"PL0041",1997,50,3639,851,34658,13315,2442,"1989",24,1,"manufacturing"
"PL0041",1999,303,5599,2521,19518,16349,2442,"1989",24,1,"manufacturing"
"PL0041",1998,247,4870,1716,29629,15964,2442,"1989",24,1,"manufacturing"
"PL0056",1999,82,958,824,7055,3407,5142,"1957",51,2,"services"
"PL0056",2001,80,667,870,6172,3201,5142,"1957",51,2,"services"
"PL0060",1999,70,677,508,13527,4985,5030,"1988",50,2,"services"
"PL0060",2000,88,788,660,17045,5764,5030,"1988",50,2,"services"
"PL0060",1998,62,599,457,21884,4049,5030,"1988",50,2,"services"
"PL0060",2001,88,1133,684,17199,5172,5030,"1988",50,2,"services"
"PL0060",1996,50,711,327,16699,2351,5030,"1988",50,2,"services"
"PL0074",2000,152,2700,1546,9377,24139,5114,"1950",51,2,"services"
"PL0074",1997,189,3957,1339,13472,24843,5114,"1950",51,2,"services"
"PL0074",1999,151,4777,1471,8777,23293,5114,"1950",51,2,"services"
"PL0079",1999,177,320,748,1095,2160,3230,"1945",32,1,"manufacturing"
"PL0079",1997,290,1611,1725,5482,6838,3230,"1945",32,1,"manufacturing"
"PL0079",1996,713,1648,1968,10045,13323,3230,"1945",32,1,"manufacturing"
"PL0079",1998,227,1856,880,3021,3487,3230,"1945",32,1,"manufacturing"
"PL0082",1997,315,1578,662,6351,5456,6340,"1989",63,2,"services"
"PL0082",1998,405,2309,889,9017,5773,6340,"1989",63,2,"services"
"PL0082",1996,205,1015,609,4367,4835,6340,"1989",63,2,"services"
"PL0082",1999,425,2890,1343,9318,4720,6340,"1989",63,2,"services"
"PL0083",1996,535,4103,2617,68830,14916,1571,"1946",15,1,"manufacturing"
"PL0090",1999,132,543,144,12259,33282,5248,"1983",52,2,"services"
"PL0090",1998,153,1048,631,14997,3880,5248,"1983",52,2,"services"
"PL0090",1996,213,1914,832,21459,4846,5248,"1983",52,2,"services"
"PL0090",2000,122,928,613,11925,2742,5248,"1983",52,2,"services"
"PL0090",1997,184,1391,719,16160,4388,5248,"1983",52,2,"services"
"PL0094",1999,92,2356,586,8687,7168,2840,"1990",28,1,"manufacturing"
"PL0094",1997,98,3060,599,10668,8636,2840,"1990",28,1,"manufacturing"
"PL0110",2000,346,2450,1947,9634,5665,2522,"1898",25,1,"manufacturing"
"PL0110",1997,476,1690,1754,11449,5504,2522,"1898",25,1,"manufacturing"
"PL0110",1999,356,2377,1892,9099,5055,2522,"1898",25,1,"manufacturing"
"PL0110",1998,396,2232,1746,10264,5431,2522,"1898",25,1,"manufacturing"
"PL0110",2001,346,1659,1903,9126,4710,2522,"1898",25,1,"manufacturing"
"PL0110",1996,683,435,2140,14648,7391,2522,"1898",25,1,"manufacturing"
"PL0112",2000,203,3131,2209,8593,6682,2420,"1945",24,1,"manufacturing"
"PL0112",1999,191,3511,1868,9595,6664,2420,"1945",24,1,"manufacturing"
"PL0112",1996,211,2897,1527,9488,9695,2420,"1945",24,1,"manufacturing"
"PL0113",1997,1061,4820,4047,13532,18317,2862,"1989",28,1,"manufacturing"
"PL0140",2000,811,6311,5292,20772,18471,6340,"1858",63,2,"services"
"PL0140",1999,810,6069,4937,18064,18276,6340,"1858",63,2,"services"
"PL0145",1998,1739,7316,11020,151343,54758,2710,"1840",27,1,"manufacturing"
"PL0145",1997,2338,17807,11787,136186,63311,2710,"1840",27,1,"manufacturing"
"PL0145",1996,2635,3772,13439,149162,68725,2710,"1840",27,1,"manufacturing"
"PL0145",2000,907,10151,6858,125756,47358,2710,"1840",27,1,"manufacturing"
"PL0145",1999,1229,10547,8452,77723,45221,2710,"1840",27,1,"manufacturing"
"PL0150",1999,17020,93855,98661,543974,663486,2710,"1949",27,1,"manufacturing"
"PL0150",2000,12312,179164,78975,773372,636682,2710,"1949",27,1,"manufacturing"
"PL0150",1997,17265,105925,53449,550955,819989,2710,"1949",27,1,"manufacturing"
"PL0150",1998,17050,172611,92594,834823,831125,2710,"1949",27,1,"manufacturing"
"PL0156",1998,174,1626,1256,14149,11712,5170,"1985",51,2,"services"
"PL0156",2001,147,374,1035,8536,5674,5170,"1985",51,2,"services"
"PL0156",1996,145,2029,1010,13096,11754,5170,"1985",51,2,"services"
"PL0159",2000,203,2998,2497,6531,8589,7310,"1952",73,2,"services"
"PL0165",1997,415,22251,4658,444842,199095,5152,"1951",51,2,"services"
"PL0195",2001,226,3246,2181,61365,14285,5170,"1987",51,2,"services"
"PL0195",1999,260,2336,1878,49587,10351,5170,"1987",51,2,"services"
"PL0204",1997,228,1938,1030,9967,5876,7415,"1945",74,2,"services"
"PL0216",1999,263,1155,1771,7317,5020,2452,"1924",24,1,"manufacturing"
"PL0216",1997,428,2963,1894,14064,6805,2452,"1924",24,1,"manufacturing"
"PL0216",1998,415,1427,1972,11907,6248,2452,"1924",24,1,"manufacturing"
